103.87.70.152,21149,ID,IDNIC-ABHINAWA-ID
103.87.70.152,21152,ID,IDNIC-ABHINAWA-ID
103.87.70.152,21196,ID,IDNIC-ABHINAWA-ID
103.87.70.152,21212,ID,IDNIC-ABHINAWA-ID
103.87.70.152,21242,ID,IDNIC-ABHINAWA-ID
103.87.70.152,31036,ID,IDNIC-ABHINAWA-ID
103.87.70.152,31243,ID,IDNIC-ABHINAWA-ID
103.87.70.152,41022,ID,IDNIC-ABHINAWA-ID
103.87.70.152,41045,ID,IDNIC-ABHINAWA-ID
103.87.70.152,41107,ID,IDNIC-ABHINAWA-ID
103.87.70.152,41142,ID,IDNIC-ABHINAWA-ID
103.87.70.152,51055,ID,IDNIC-ABHINAWA-ID
103.87.70.152,51153,ID,IDNIC-ABHINAWA-ID
103.87.70.152,51185,ID,IDNIC-ABHINAWA-ID
103.87.70.152,51187,ID,IDNIC-ABHINAWA-ID
103.87.70.152,51204,ID,IDNIC-ABHINAWA-ID
103.87.70.152,51220,ID,IDNIC-ABHINAWA-ID
103.87.70.167,11050,ID,IDNIC-ABHINAWA-ID
103.87.70.167,11096,ID,IDNIC-ABHINAWA-ID
103.87.70.167,11211,ID,IDNIC-ABHINAWA-ID
103.87.70.167,11218,ID,IDNIC-ABHINAWA-ID
103.87.70.167,21149,ID,IDNIC-ABHINAWA-ID
103.87.70.167,21196,ID,IDNIC-ABHINAWA-ID
103.87.70.167,21242,ID,IDNIC-ABHINAWA-ID
103.87.70.167,31011,ID,IDNIC-ABHINAWA-ID
103.87.70.167,31059,ID,IDNIC-ABHINAWA-ID
103.87.70.167,31150,ID,IDNIC-ABHINAWA-ID
103.87.70.167,31243,ID,IDNIC-ABHINAWA-ID
103.87.70.167,41022,ID,IDNIC-ABHINAWA-ID
103.87.70.167,41045,ID,IDNIC-ABHINAWA-ID
103.87.70.167,41107,ID,IDNIC-ABHINAWA-ID
103.87.70.167,41142,ID,IDNIC-ABHINAWA-ID
103.87.70.167,51055,ID,IDNIC-ABHINAWA-ID
103.87.70.167,51204,ID,IDNIC-ABHINAWA-ID
103.87.70.130,11050,ID,IDNIC-ABHINAWA-ID
103.87.70.130,11162,ID,IDNIC-ABHINAWA-ID
103.87.70.130,11211,ID,IDNIC-ABHINAWA-ID
103.87.70.130,11225,ID,IDNIC-ABHINAWA-ID
103.87.70.130,11245,ID,IDNIC-ABHINAWA-ID
103.87.70.130,21020,ID,IDNIC-ABHINAWA-ID
103.87.70.130,21089,ID,IDNIC-ABHINAWA-ID
103.87.70.130,21149,ID,IDNIC-ABHINAWA-ID
103.87.70.130,21196,ID,IDNIC-ABHINAWA-ID
103.87.70.130,21205,ID,IDNIC-ABHINAWA-ID
103.87.70.130,21242,ID,IDNIC-ABHINAWA-ID
103.87.70.130,31243,ID,IDNIC-ABHINAWA-ID
103.87.70.130,31250,ID,IDNIC-ABHINAWA-ID
103.87.70.130,41022,ID,IDNIC-ABHINAWA-ID
103.87.70.130,41045,ID,IDNIC-ABHINAWA-ID
103.87.70.130,41107,ID,IDNIC-ABHINAWA-ID
103.87.70.130,41142,ID,IDNIC-ABHINAWA-ID
103.87.70.130,41240,ID,IDNIC-ABHINAWA-ID
103.87.70.130,51055,ID,IDNIC-ABHINAWA-ID
103.87.70.130,51204,ID,IDNIC-ABHINAWA-ID
103.87.70.162,11038,ID,IDNIC-ABHINAWA-ID
103.87.70.162,11050,ID,IDNIC-ABHINAWA-ID
103.87.70.162,11121,ID,IDNIC-ABHINAWA-ID
103.87.70.162,11206,ID,IDNIC-ABHINAWA-ID
103.87.70.162,11211,ID,IDNIC-ABHINAWA-ID
103.87.70.162,11245,ID,IDNIC-ABHINAWA-ID
103.87.70.162,21063,ID,IDNIC-ABHINAWA-ID
103.87.70.162,21106,ID,IDNIC-ABHINAWA-ID
103.87.70.162,21149,ID,IDNIC-ABHINAWA-ID
103.87.70.162,21192,ID,IDNIC-ABHINAWA-ID
103.87.70.162,21196,ID,IDNIC-ABHINAWA-ID
103.87.70.162,21242,ID,IDNIC-ABHINAWA-ID
103.87.70.162,31091,ID,IDNIC-ABHINAWA-ID
103.87.70.162,31159,ID,IDNIC-ABHINAWA-ID
103.87.70.162,31243,ID,IDNIC-ABHINAWA-ID
103.87.70.162,41022,ID,IDNIC-ABHINAWA-ID
103.87.70.162,41045,ID,IDNIC-ABHINAWA-ID
103.87.70.162,41107,ID,IDNIC-ABHINAWA-ID
103.87.70.162,41142,ID,IDNIC-ABHINAWA-ID
103.87.70.162,51029,ID,IDNIC-ABHINAWA-ID
103.87.70.162,51055,ID,IDNIC-ABHINAWA-ID
103.87.70.162,51195,ID,IDNIC-ABHINAWA-ID
103.87.70.162,51204,ID,IDNIC-ABHINAWA-ID
103.87.70.146,11050,ID,IDNIC-ABHINAWA-ID
103.87.70.146,11211,ID,IDNIC-ABHINAWA-ID
103.87.70.146,21149,ID,IDNIC-ABHINAWA-ID
103.87.70.146,21196,ID,IDNIC-ABHINAWA-ID
103.87.70.146,21242,ID,IDNIC-ABHINAWA-ID
103.87.70.146,31112,ID,IDNIC-ABHINAWA-ID
103.87.70.146,31243,ID,IDNIC-ABHINAWA-ID
103.87.70.146,41022,ID,IDNIC-ABHINAWA-ID
103.87.70.146,41045,ID,IDNIC-ABHINAWA-ID
103.87.70.146,41107,ID,IDNIC-ABHINAWA-ID
103.87.70.146,41142,ID,IDNIC-ABHINAWA-ID
103.87.70.146,41151,ID,IDNIC-ABHINAWA-ID
103.87.70.146,41160,ID,IDNIC-ABHINAWA-ID
103.87.70.146,41168,ID,IDNIC-ABHINAWA-ID
103.87.70.146,41228,ID,IDNIC-ABHINAWA-ID
103.87.70.146,51055,ID,IDNIC-ABHINAWA-ID
103.87.70.146,51187,ID,IDNIC-ABHINAWA-ID
103.87.70.146,51204,ID,IDNIC-ABHINAWA-ID
103.87.70.146,51209,ID,IDNIC-ABHINAWA-ID
103.87.70.146,51220,ID,IDNIC-ABHINAWA-ID
103.87.70.137,11050,ID,IDNIC-ABHINAWA-ID
103.87.70.137,11211,ID,IDNIC-ABHINAWA-ID
103.87.70.137,21021,ID,IDNIC-ABHINAWA-ID
103.87.70.137,21089,ID,IDNIC-ABHINAWA-ID
103.87.70.137,21149,ID,IDNIC-ABHINAWA-ID
103.87.70.137,21171,ID,IDNIC-ABHINAWA-ID
103.87.70.137,21196,ID,IDNIC-ABHINAWA-ID
103.87.70.137,21210,ID,IDNIC-ABHINAWA-ID
103.87.70.137,21242,ID,IDNIC-ABHINAWA-ID
103.87.70.137,31042,ID,IDNIC-ABHINAWA-ID
103.87.70.137,31243,ID,IDNIC-ABHINAWA-ID
103.87.70.137,41022,ID,IDNIC-ABHINAWA-ID
103.87.70.137,41045,ID,IDNIC-ABHINAWA-ID
103.87.70.137,41107,ID,IDNIC-ABHINAWA-ID
103.87.70.137,41142,ID,IDNIC-ABHINAWA-ID
103.87.70.137,41148,ID,IDNIC-ABHINAWA-ID
103.87.70.137,41253,ID,IDNIC-ABHINAWA-ID
103.87.70.137,51055,ID,IDNIC-ABHINAWA-ID
103.87.70.137,51204,ID,IDNIC-ABHINAWA-ID
103.87.70.166,11050,ID,IDNIC-ABHINAWA-ID
103.87.70.166,11053,ID,IDNIC-ABHINAWA-ID
103.87.70.166,11182,ID,IDNIC-ABHINAWA-ID
103.87.70.166,11211,ID,IDNIC-ABHINAWA-ID
103.87.70.166,21149,ID,IDNIC-ABHINAWA-ID
103.87.70.166,21196,ID,IDNIC-ABHINAWA-ID
103.87.70.166,21242,ID,IDNIC-ABHINAWA-ID
103.87.70.166,31243,ID,IDNIC-ABHINAWA-ID
103.87.70.166,41022,ID,IDNIC-ABHINAWA-ID
103.87.70.166,41045,ID,IDNIC-ABHINAWA-ID
103.87.70.166,41071,ID,IDNIC-ABHINAWA-ID
103.87.70.166,41090,ID,IDNIC-ABHINAWA-ID
103.87.70.166,41102,ID,IDNIC-ABHINAWA-ID
103.87.70.166,41107,ID,IDNIC-ABHINAWA-ID
103.87.70.166,41142,ID,IDNIC-ABHINAWA-ID
103.87.70.166,41158,ID,IDNIC-ABHINAWA-ID
103.87.70.166,51055,ID,IDNIC-ABHINAWA-ID
103.87.70.166,51204,ID,IDNIC-ABHINAWA-ID
108.136.135.1,80,ID,AMAZON-CGK
108.136.135.1,443,ID,AMAZON-CGK
108.136.135.1,888,ID,AMAZON-CGK
16.78.93.170,443,ID,AMAZON-CGK
108.137.132.79,80,ID,AMAZON-CGK
108.137.132.79,443,ID,AMAZON-CGK
108.137.132.79,888,ID,AMAZON-CGK
43.218.77.16,443,ID,AMAZON-CGK
43.218.77.16,5432,ID,AMAZON-CGK
16.78.2.76,443,ID,AMAZON-CGK
38.9.147.154,73,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.147.154,74,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.147.154,88,ID,MEDIA-ANTAR-CGNT-NET-1
